Date,Open,High,Low,Close,Volume
6/10/2015 16:00:00,426.46,432.2,425.66,430.77,2172333
6/11/2015 16:00:00,432.29,438.89,431.47,432.97,2922459
6/12/2015 16:00:00,431.03,432.36,428.26,429.92,2054385
6/15/2015 16:00:00,427.66,428.05,422.64,423.67,2050987
6/16/2015 16:00:00,423.62,427.97,422.67,427.26,2297469
6/17/2015 16:00:00,428.36,431.35,424.75,427.81,2185869
6/18/2015 16:00:00,430.37,439.73,429.41,439.39,3378360
6/19/2015 16:00:00,440.39,444.99,433.24,434.92,4495087
6/22/2015 16:00:00,437,439.24,434.18,436.29,1823572
6/23/2015 16:00:00,435.58,447.04,433.69,445.99,3245049
6/24/2015 16:00:00,444.99,446.47,440.23,440.84,2620827
6/25/2015 16:00:00,438.24,443.47,436.39,440.1,2237458
6/26/2015 16:00:00,442.19,443.49,435.06,438.1,2624479
6/29/2015 16:00:00,434.82,437,429,429.86,2753193
6/30/2015 16:00:00,434.21,435.57,430.46,434.09,2596873
7/1/2015 16:00:00,439.07,440,435.58,437.39,1987076
7/2/2015 16:00:00,437.31,438.2,433.48,437.71,1343397
7/6/2015 16:00:00,435.23,439.73,433.52,436.04,1903161
7/7/2015 16:00:00,435.68,437.73,425.57,436.72,3454248
7/8/2015 16:00:00,434.35,435.99,428.83,429.7,2383130
7/9/2015 16:00:00,434.9,438.72,434.15,434.39,2271395
7/10/2015 16:00:00,440.49,444.72,439,443.51,2400981
7/13/2015 16:00:00,448.29,457.87,447.54,455.57,3956802
7/14/2015 16:00:00,462.32,469.6,458.16,465.57,4736215
7/15/2015 16:00:00,463.04,464.7,460.2,461.19,2987399
7/16/2015 16:00:00,465.5,475.88,464.8,475.48,4095581
7/17/2015 16:00:00,477.7,485.42,477.25,483.01,4932176
7/20/2015 16:00:00,492.57,493.2,485.4,488.1,4752491
7/21/2015 16:00:00,487.9,488.88,482.55,488,3181831
7/22/2015 16:00:00,485.99,492.5,484.9,488.27,3114898
7/23/2015 16:00:00,491.66,491.66,475.7,482.18,9374431
7/24/2015 16:00:00,578.99,580.57,529.35,529.42,21909381
7/27/2015 16:00:00,527.75,544.95,526.6,531.41,7490960
7/28/2015 16:00:00,536,536.39,523.12,526.03,5273092
7/29/2015 16:00:00,530.92,532.97,525.02,529,3752634
7/30/2015 16:00:00,527.65,539.2,524.29,536.76,3743065
7/31/2015 16:00:00,539.09,542.84,534.52,536.15,3025598
8/3/2015 16:00:00,537.45,540.44,529.36,535.03,3014236
8/4/2015 16:00:00,529.69,536.95,529.16,531.9,2934590
8/5/2015 16:00:00,538.8,539.14,534.12,537.01,2889350
8/6/2015 16:00:00,539.3,542.74,527.52,529.46,3820453
8/7/2015 16:00:00,529.16,529.46,518.21,522.62,3969215
8/10/2015 16:00:00,528.52,532.28,523,524,2615926
